review,sentiment
"Great. This movie has it all, action, romance, comedy, giant boulders and occult seeking Nazis. Story conceived by George Lucas and screenplay written by the same guy that wrote Empire Strikes Back and Return of the Jedi. If that doesn't sell it, then look no further than Steven Spielberg because he directed it. Awesome movie all around and definitely a genre classic. An absolute must see for any movie fan that likes fun.",positive
"Lame. Most people give this movie a 10 out of 10 because they don't consider the movie but rather how happy they were to discover it as a child but now, in 2005, it has become obviously outdated, the script is quite bad and the acting is even worse. Harrisson Ford obviously should have worked his acting better, which he happily did since that movie. I am sorry I cannot just keep on lying about this movie: this is for your kids but in now way should it be put among masterpieces. IMDb is a web site about movies, not about cult and self-proclaimed nerds or geeks. You have to determine how good is a movie according to artistical criteria, neither to your gregarious instinct nor to your attitude.",negative
"Great Murray. May be THE classic Bill Murray movie, with Murray, Ramis, Candy and other oddballs making it in the Army. There are three general sequences - Murray pre-Army, basic training, and the mission (occurring after Murray and Ramis ""borrow"" Army test vehicle with their MP girlfriends). Each of the sequences are funny, I personally like Murray pre-Army best and the mission least. Warren Oates as ""Sgt. Hulka"" is a modern classic. Over twenty years later and this is still the reigning service comedy.",positive
"Dated. Plagiarised. Perhaps this film was regarded as original and rather humorous in its country of origin way back in 1981, but it's now dated. Two idiots join the army and get knocked into fine servicemen -- wow, I'd never have thought of a plot like that! Come to think if it, I have heard of it before. It's a cheap knock-off of Boulting Brother's Private's Progress' (1956) in which an all-star cast playing a squad of misfits is knocked into fine servicemen, watched over by a tough, gruff about-to-retire drill sergeant. This downmarket US plagiarised version is just not in the same class. Bill Murray is just a dull pain-in-the ass who self-centred child-like persona is supposed to be comic. Warren Oates and John Candy in supporting roles are acceptable, with Oates almost reaching the standard set by William Hartnell.",negative
"This stirring movie in comic-strip style is packed with unbelievable car stunts, thrills, chills and noisy action. Violent movie about a futuristic road-warrior cop with high-velocity action and kinetic energy .This classic is set a few years from now, a dangerous, desolate post-industrial world of the future where rules the strongest law . It concerns about the ex-police named Max (Mel Gibson), some cutthroats and revenge takes place. The nasties attack , rape, ravage to hapless and unfortunates. But vengeance will be terrible against some bands of depraved crazies thirsty for blood on high facility roads. A group (commanded by Mike Preston) located at an oil fortress is besieged by motorised warlords looking for fuel and they'll have to fight against the cutthroats, a band of depraved crazies (Vernon Welles and several others) thirsty for blood and survive some battles to-the-death with lots of blood and gore, including throating-slit ,beheading, impaling and blow up. This exciting picture packs kinetic action , thrills, chills, shocks and abundant violence. Spectacular stunt-work plenty of motorcycle races, cars with bounds and leaps and explosions . Top-notch Mel Gibson as revenger angel at one of his first main roles, he embarks a spectacular escape against vicious murderous. Rumbling and screeching musical score fitting to action by Brian May. Special and weird futuristic atmosphere created by cameraman Dean Semler who reflects splendidly the barren outdoors. The motion picture is stunningly directed by George Miller, author of the excellent post-apocalypse ¨Mad Max¨ trilogy along with the writer and producer Byron Kennedy. It's followed by ¨Mad Max beyond Thunderdome¨ with Tina Turner, George Ogilvie, Frank Thring and again Bruce Spence as sympathetic helicopter pilot. In addition, numerous imitations as the recent ¨Doomsday¨(2008, Neal Marshall), rip offs, and exploitations ,especially Italians products. Rating : Good, better than average, this is one of the most successful Aussie movie of all time. This remarkable action film will appeal to Science Fiction buffs. Rating : 8'5, Above average. Well worth watching.",positive
"I did not like it, not my type of film 'Mad Max 2' is a spin-off of the original 'Mad Max', and it's got the similar feel involving gangs of violent motorcyclists in the Australian outback. This time, Max is protecting a gang of people and fuel from the motorcyclists after the end of the world. A similar plot endures involving Mad Max with motorcycles hunting down the gang. Partly a matter of personal taste, a bunch of men riding around on motorcycles, killing each other, and generally being violent just does not make a good movie for me. Give me something with a little more substance and less pointless action. It's a guy's film, through and through, I think. Not my type of film: 1/10.",negative
"One of my Favorite Bonds. This is the very first Bond movie that I can remember enjoying as a kid back when it was HBO a long time ago a year or so after it came out. It helped get me hooked on 007. After James in Space in Moonraker, he is back down to Earth in this very exciting installment of the series. Definitely a step up over Moonraker. Great action scenes. Movie slows down a little here and there but when it picks up it rocks... literally, at one point, when James does a little rock climbing. And in this, Roger Moore's fifth Bond film, we finally get to see him playing baccarat, something he hadn't previously done and something Connery did in almost all his films. So minor compared to the international intrigue and chase scenes but I thought worth mentioning. This is absolutely one Bond film I look forward to seeing again!",positive
"One of the most boring and foreseeable. I remember going to the movies in Madrid when I was 15 to watch that year's 007. I remember a surprise to see how Spain was, once again, depicted. The action with the Citroen is supposed to be filmed in Spain, near Madrid!! Goatees and sheep in the city, women with scarves on their head, a Mediterranean forest, the most funny was to see people harvesting olives...hahahahaha. Mixed feelings about feeling embarrassed for the ignorant producers and movie director, and feelings about they did it once again. Well they should be better have done near Granada, or Jaen, but near Madrid, no way! I don't need to explain why, but anyway I guess British people is the image that had about Spain due to their holidays in Southern Spain...On the other hand besides that surprising part, the rest was completely foreseeable. Carole Bouquet was a beautiful model, but not still an actress. At the final part any shot of a person feet immediately had another shot of that person slipping down, I knew what it was going to happen long before it happened. Definitively one of the worse 007's",negative
"Hi Snake, . . . I heard you were dead! . Many fans of Kurt Russell were extremely surprised he emerged from his years as a child actor to evolve into a believable, hard hitting, action hero. True, he was traditionally recognized to many for his whimsical, good-looks and high school persona. Thus when movie-goers saw him in this film, many stood aghast at his mature tenor. This futuristic story begins with the President's plane being high-jacked by rebel extremists and flown into the island city of New York which has been transformed into a maximum prison. The plane with the president (Donald Pleasence) on board crashes into the prison and it falls to the warden/Police Commissioner, one, Bob Hauk, (Lee Van Cleef) to rescue the chief executive. His plan? To send in a new convict, an experienced ex-soldier and special ops veteran, named, Snake Plissken (Kurt Russell) with the promise of a presidential pardon if he can return him alive. To insure the clever criminal does not take the opportunity to escape, he is given a lethal injection which can only be removed by the commissioner's medical staff. Thus, begins a timely drama which means life or death for the hero, the president and ultimately the world. The success of this film owes much to the film's other characters like the talkative Cabbie (Ernest Borgnine, terrific acting), Harold ' Brain' Helman (Harry Dean Stanton), his 'squeeze' Maggie (Adrienne Barbeau) and Isaac Hayes, who plays the heavy, The Duke of New York. This a groundbreaking film for Russell and as expected, he carries it to it's rave conclusion with action to spare.",positive
"Cult film that does not stand test of time. I have to admit, I was expecting a lot more here, and as such I was disappointed. This movie does not measure up even to cult status, with a gruff, almost non-existent acting job by Russell, stupid bad guys, and terrible dialog. This would not even be a solid indie by todays standards. There are other sci-fi cult films from this period that translate well to modern day (ie, Road Warrior, also from 81'), this one does not IMO. Carpenter had a solid premise, but it gets lost with a insufficient budget, and bad acting. I cant understand why Snake became such a iconic character off this movie alone. I have not seen Escape from LA as of yet, but it would have to really be great to make up for the lackluster EFNY.",negative
